"ids","department","bases","experience","raises","salary"
71,"sociology",36765.4964961112,3,2133.51860335097,43166.0523061641
72,"biology",51114.9229807779,6,544.351814035326,54381.0338649899
73,"english",56411.3337351009,4,520.962595404126,58495.1841167174
74,"informatics",70046.4452216402,3,1726.52875654399,75226.0314912722
75,"statistics",74065.6071156263,8,496.72615271993,78039.4163373858
76,"sociology",36023.3822762966,6,2150.01072119921,48923.4466034919
77,"biology",51438.4228480048,3,454.679923178628,52802.4626175407
78,"english",56892.4366598949,4,541.909226658754,59060.0735665299
79,"informatics",68880.4949801415,2,1831.70240896288,72543.8997980673
80,"statistics",83446.8427747488,1,510.933937551454,83957.7767123003
81,"sociology",36805.4774552584,9,2136.58626871184,56034.7538736649
82,"biology",51068.3684446849,7,491.480922838673,54508.7349045556
83,"english",56549.179491587,5,526.403088448569,59181.1949338298
84,"informatics",75526.3705141843,9,1533.2223778218,89325.3719145805
85,"statistics",81011.1685395241,9,469.923298014328,85240.478221653
86,"sociology",37981.7982725799,0,1840.89107718319,37981.7982725799
87,"biology",52306.5581778064,0,523.302426189184,52306.5581778064
88,"english",57195.9878029302,9,460.563426907174,61341.0586450948
89,"informatics",73559.6011006273,2,1609.88592321519,76779.3729470577
90,"statistics",87327.0924761891,9,493.828562530689,91771.5495389653
91,"sociology",39849.8902544379,1,1930.61728654429,41780.5075409822
92,"biology",54094.946666155,1,451.215514098294,54546.1621802533
93,"english",65881.2651196495,5,461.594468494877,68189.2374621239
94,"informatics",66253.8417028263,2,1684.48353664484,69622.808776116
95,"statistics",76508.4573142231,3,515.190634969622,78054.0292191319
96,"sociology",41631.4021684229,0,2195.30374035239,41631.4021684229
97,"biology",53335.9743049368,7,480.279569188133,56697.9312892538
98,"english",59588.1468560547,4,479.254933050834,61505.166588258
99,"informatics",68469.5820333436,0,1808.30842554569,68469.5820333436
100,"statistics",73502.2109113634,7,467.657324275933,76775.8121812949
